DATA,EXCEPTION,time,pitch,roll,yaw,airspeed,displayedAltitude,pressureAltitude,turnRate,verticalSpeed,lateralAcceleration,verticalAcceleration,angleOfAttack,
03032924+018+00053000000+0096-001+01+1099FA49FE01C0,ok,11009375,1.8000001,0.5,300.0,0.0,96.0,NaN,-0.1,NaN,0.01,1.0,0.98999995,
03032925+018+00053000000+0051-007+01+1099FA4AD901B8,ok,11009390,1.8000001,0.5,300.0,0.0,NaN,51.0,NaN,-0.7,0.01,1.0,0.98999995,
03032926+017+00053000000+0051-007+01+1099FA4AD901B8,ok,11009406,1.7,0.5,300.0,0.0,NaN,51.0,NaN,-0.7,0.01,1.0,0.98999995,
03032927+017+00053000000+0051-009+01+1099FA4AD901BB,ok,11009421,1.7,0.5,300.0,0.0,NaN,51.0,NaN,-0.90000004,0.01,1.0,0.98999995,
03032928+017+00053000000+0051-009+01+1099FA4AD901BC,ok,11009437,1.7,0.5,300.0,0.0,NaN,51.0,NaN,-0.90000004,0.01,1.0,0.98999995,
03032929+017+00053000000+0051-009+01+1099FA4AD901BD,ok,11009453,1.7,0.5,300.0,0.0,NaN,51.0,NaN,-0.90000004,0.01,1.0,0.98999995,
03032930+017+00053000000+0096-001+01+1099FA49FE01BC,ok,11009468,1.7,0.5,300.0,0.0,96.0,NaN,-0.1,NaN,0.01,1.0,0.98999995,
03032931+017+00053000000+0096-001+01+1099FA49FE01BD,ok,11009484,1.7,0.5,300.0,0.0,96.0,NaN,-0.1,NaN,0.01,1.0,0.98999995,
03032932+017+00053000000+0096+000+01+1099FA49FE01BB,ok,11009500,1.7,0.5,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03032933+017+00053000000+0096+000+01+1099FA49FE01BC,ok,11009515,1.7,0.5,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
